age,income,purchase_amount,monthly_visits,satisfaction_score,gender,product_type,purchased
56,31093,286,13,4,Male,Clothing,1
69,38070,207,7,10,Male,Clothing,1
46,55777,79,9,5,Female,Electronics,1
32,76958,121,11,2,Male,Books,1
60,30729,13,14,4,Female,Electronics,1
25,65017,359,4,2,Male,Electronics,0
78,86320,340,13,2,Female,Clothing,1
38,47751,455,2,4,Female,Clothing,1
56,98069,327,5,6,Male,Clothing,1
75,74748,359,11,7,Male,Clothing,1
36,25801,104,6,10,Female,Books,0
40,39190,161,18,3,Female,Books,1
28,69689,320,10,3,Male,Books,0
28,70993,146,4,10,Male,Clothing,1
41,49592,256,9,6,Female,Clothing,1
70,30647,396,6,3,Male,Clothing,0
53,28716,252,2,2,Female,Books,0
57,90316,40,17,8,Female,Clothing,1
41,22368,49,5,5,Male,Electronics,0
20,97575,238,6,1,Male,Electronics,1
39,26655,45,12,3,Male,Clothing,1
70,90031,417,10,10,Male,Electronics,1
19,96429,232,6,8,Male,Electronics,1
41,75766,15,8,4,Female,Books,0
61,33403,331,2,7,Female,Clothing,0
47,52097,477,12,10,Male,Clothing,1
55,98657,229,13,2,Male,Books,1
19,30966,84,7,7,Male,Electronics,1
77,72921,13,10,5,Female,Electronics,1
38,69726,344,13,5,Male,Clothing,1
50,70300,143,17,6,Male,Electronics,0
29,42677,127,14,9,Female,Books,0
75,75609,378,2,6,Female,Books,1
39,76661,103,11,8,Male,Clothing,1
78,51024,495,1,7,Male,Books,0
61,90313,444,19,9,Male,Books,1
42,73006,71,4,4,Female,Clothing,1
66,35338,450,19,2,Male,Books,1
44,88027,203,11,7,Male,Books,1
76,39508,344,8,6,Male,Books,1
59,23051,212,11,1,Female,Electronics,0
45,68747,401,4,9,Female,Clothing,0
77,74021,35,17,9,Male,Clothing,1
33,86412,444,7,2,Male,Clothing,1
32,78335,182,8,3,Female,Electronics,1
79,76179,309,3,5,Female,Electronics,1
79,52093,142,2,5,Female,Clothing,1
64,89678,335,15,1,Female,Electronics,0
79,59734,419,5,8,Female,Clothing,1
68,92615,127,1,8,Female,Electronics,1
61,93523,333,4,4,Female,Books,1
72,37019,284,15,7,Female,Books,1
69,93847,221,19,10,Female,Clothing,1
74,99634,234,3,3,Male,Electronics,1
20,48251,29,11,6,Male,Electronics,1
54,45945,122,17,10,Male,Books,1
68,52217,149,13,10,Female,Books,1
24,28308,56,11,9,Male,Electronics,0
38,25949,10,2,1,Female,Electronics,0
26,71990,99,9,5,Female,Electronics,0
56,21150,151,2,4,Male,Electronics,1
35,94740,329,9,8,Female,Electronics,1
21,86617,47,9,1,Male,Electronics,1
42,36896,302,8,9,Male,Clothing,1
77,66175,391,17,6,Male,Electronics,1
31,27805,148,1,4,Female,Books,0
67,25237,365,11,9,Male,Clothing,0
75,40056,342,8,5,Female,Electronics,0
26,65543,268,10,5,Male,Books,1
43,76556,170,7,5,Male,Clothing,0
70,23343,399,3,1,Male,Books,0
19,33500,187,3,1,Female,Electronics,1
37,73222,19,18,8,Female,Electronics,1
45,49375,270,5,8,Female,Electronics,1
64,29662,416,12,6,Male,Electronics,1
77,36964,147,12,4,Male,Clothing,1
24,79638,181,19,2,Female,Clothing,0
61,93666,395,6,2,Female,Books,1
78,87215,22,2,9,Female,Electronics,0
25,89042,177,12,5,Female,Books,1
64,33284,139,19,4,Female,Clothing,0
52,92789,93,5,10,Female,Electronics,1
31,81389,330,12,1,Male,Electronics,1
34,29435,328,17,7,Female,Clothing,0
53,74340,110,17,3,Male,Clothing,1
67,64078,338,10,6,Male,Clothing,1
57,98832,282,17,5,Female,Clothing,1
21,71293,274,15,5,Female,Clothing,1
19,98781,468,12,5,Male,Electronics,1
79,80403,408,16,1,Female,Clothing,1
23,49124,417,19,1,Female,Electronics,1
71,63919,47,8,3,Male,Electronics,1
59,55247,428,17,10,Male,Clothing,1
21,82752,103,5,4,Male,Clothing,1
71,76573,104,16,5,Female,Electronics,1
46,79101,314,6,2,Male,Clothing,0
35,46646,78,8,8,Female,Clothing,1
43,43049,327,18,2,Male,Clothing,0
61,99605,453,12,9,Male,Books,1
51,88385,245,15,2,Male,Electronics,1
27,60158,443,9,9,Female,Books,1
79,85417,343,13,7,Female,Clothing,0
53,43289,382,15,8,Male,Books,0
31,29823,385,10,2,Male,Clothing,1
48,80160,468,16,7,Male,Books,1
65,61975,146,7,6,Female,Clothing,1
32,29540,427,17,4,Male,Books,0
25,36364,85,7,7,Female,Books,1
31,24611,492,14,4,Male,Books,1
40,47663,44,15,2,Male,Electronics,0
77,71991,10,7,10,Male,Books,1
74,77679,305,9,7,Male,Electronics,1
79,50977,329,19,8,Male,Clothing,1
57,69115,415,16,2,Male,Books,1
38,80890,69,8,5,Female,Clothing,1
33,86387,329,18,1,Male,Clothing,1
62,38071,358,18,7,Female,Books,0
35,79275,337,7,8,Male,Electronics,1
64,92369,276,3,6,Male,Books,1
70,31938,370,18,5,Female,Clothing,0
41,55195,238,10,6,Male,Clothing,0
43,24000,279,7,2,Female,Books,0
42,90588,325,17,1,Female,Electronics,0
77,58304,295,14,7,Male,Electronics,1
77,89449,300,3,7,Female,Clothing,1
77,40764,222,12,10,Female,Clothing,0
62,58494,174,13,10,Male,Electronics,1
58,23373,14,2,2,Female,Books,0
46,32161,348,3,2,Male,Clothing,1
32,47350,388,5,1,Male,Electronics,0
62,45351,87,11,10,Male,Clothing,0
18,35305,419,8,8,Male,Books,1
42,95353,71,12,8,Female,Electronics,1
24,96797,141,7,1,Male,Clothing,1
26,85953,98,15,8,Male,Books,0
41,77458,246,17,9,Female,Clothing,1
18,40358,51,4,4,Male,Books,0
61,23267,98,13,1,Male,Books,0
25,58513,411,18,1,Female,Electronics,1
41,46092,305,1,3,Female,Books,1
28,31338,337,16,5,Female,Clothing,1
68,20412,304,13,5,Female,Books,1
34,27543,113,10,9,Female,Books,1
25,53496,23,12,10,Female,Electronics,1
52,80692,297,2,2,Female,Books,0
52,64425,188,3,2,Male,Books,1
50,58756,134,10,6,Female,Clothing,1
76,38888,431,2,9,Female,Electronics,0
22,55735,362,13,1,Female,Electronics,0
59,67295,32,13,9,Male,Electronics,1
56,37955,72,18,9,Male,Books,1
75,57841,152,3,9,Female,Electronics,1
58,90640,490,7,5,Female,Books,1
45,85510,162,14,9,Female,Books,1
24,54911,154,17,4,Male,Clothing,1
26,79031,234,12,2,Male,Clothing,1
25,27357,459,16,6,Female,Clothing,0
29,52479,471,12,4,Male,Clothing,1
51,81476,318,15,6,Female,Clothing,1
50,64811,113,10,3,Male,Books,0
65,56208,113,7,6,Male,Books,1
72,40150,444,5,2,Female,Electronics,1
40,91180,48,1,2,Female,Books,0
79,63286,444,17,9,Female,Books,1
41,88450,207,3,7,Female,Clothing,1
54,41352,143,13,3,Male,Books,1
52,75069,76,14,1,Male,Clothing,1
61,34397,400,18,8,Male,Electronics,0
57,61555,188,4,6,Female,Electronics,1
39,66959,465,18,7,Male,Books,0
44,20728,51,5,9,Female,Electronics,1
52,70517,457,16,5,Male,Books,1
18,86234,24,1,1,Female,Electronics,1
52,59954,120,14,10,Female,Clothing,1
54,67280,166,15,7,Male,Clothing,1
64,99459,298,9,5,Female,Clothing,1
31,36779,487,15,3,Female,Clothing,0
20,83932,240,17,9,Male,Books,1
18,92936,420,4,1,Female,Electronics,0
22,44466,429,12,1,Female,Books,0
43,56939,166,5,1,Female,Clothing,0
72,89896,47,5,3,Male,Books,0
31,55270,450,11,6,Male,Electronics,0
56,79163,106,6,10,Female,Books,1
44,71934,494,7,3,Male,Electronics,0
26,84895,420,14,8,Female,Books,1
32,52307,448,11,10,Female,Electronics,1
32,74098,298,13,2,Female,Electronics,0
43,80921,263,2,9,Female,Clothing,1
59,25486,205,7,3,Female,Electronics,0
77,28335,95,4,5,Male,Clothing,1
30,31130,331,8,10,Female,Clothing,1
68,80566,19,19,8,Male,Clothing,1
49,86703,14,13,2,Male,Books,0
56,47192,132,14,6,Female,Books,1
66,21062,339,10,5,Female,Books,1
69,41545,362,11,10,Male,Books,1
78,41689,127,2,9,Male,Electronics,1
49,31174,303,9,5,Male,Electronics,1
21,29348,406,17,2,Female,Books,0
47,43714,168,3,5,Male,Electronics,0
54,58102,312,6,4,Female,Electronics,1
40,94460,237,5,7,Female,Clothing,1
56,26801,374,5,6,Female,Clothing,0
62,92267,225,15,2,Male,Clothing,0
32,68136,445,17,5,Female,Clothing,0
60,43625,193,9,7,Female,Electronics,0
46,92592,24,3,7,Female,Books,1
53,97052,166,17,5,Female,Electronics,1
30,64261,145,10,9,Female,Electronics,1
49,21542,270,3,4,Male,Electronics,1
24,41677,166,18,3,Female,Clothing,0
76,66732,56,18,4,Female,Clothing,0
68,70343,333,17,5,Male,Clothing,1
39,59081,341,3,6,Female,Books,1
45,82856,182,3,3,Male,Electronics,1
19,39065,139,6,2,Female,Books,1
