age,income,purchase_amount,monthly_visits,satisfaction_score,gender,product_type,purchased
56.0,31093.0,286.0,13.0,4.0,Male,Clothing,1.0
69.0,38070.0,207.0,7.0,10.0,Male,Clothing,1.0
46.0,55777.0,79.0,9.0,5.0,Female,Electronics,1.0
32.0,76958.0,121.0,11.0,2.0,Male,Books,1.0
60.0,30729.0,13.0,14.0,4.0,Female,Electronics,1.0
25.0,65017.0,359.0,4.0,2.0,Male,Electronics,0.0
78.0,86320.0,340.0,13.0,2.0,Female,Clothing,1.0
38.0,47751.0,455.0,2.0,4.0,Female,Clothing,1.0
56.0,98069.0,327.0,5.0,6.0,Male,Clothing,
,74748.0,359.0,11.0,7.0,Male,Clothing,1.0
36.0,25801.0,104.0,6.0,10.0,Female,Books,0.0
40.0,39190.0,161.0,18.0,3.0,Female,Books,1.0
28.0,69689.0,320.0,10.0,3.0,,Books,0.0
28.0,70993.0,146.0,4.0,10.0,Male,Clothing,1.0
41.0,49592.0,256.0,9.0,6.0,Female,Clothing,1.0
70.0,30647.0,396.0,6.0,3.0,Male,Clothing,0.0
53.0,28716.0,252.0,2.0,,Female,Books,0.0
57.0,90316.0,40.0,17.0,8.0,Female,Clothing,1.0
41.0,22368.0,49.0,5.0,5.0,Male,Electronics,0.0
20.0,97575.0,238.0,6.0,1.0,Male,Electronics,1.0
39.0,26655.0,45.0,12.0,3.0,Male,Clothing,1.0
70.0,90031.0,417.0,10.0,10.0,,Electronics,1.0
19.0,96429.0,232.0,6.0,8.0,Male,Electronics,1.0
41.0,75766.0,15.0,8.0,4.0,Female,Books,0.0
61.0,33403.0,331.0,2.0,7.0,Female,Clothing,0.0
47.0,52097.0,477.0,12.0,10.0,Male,Clothing,1.0
55.0,98657.0,229.0,13.0,2.0,Male,Books,
19.0,30966.0,,7.0,7.0,Male,Electronics,1.0
77.0,72921.0,13.0,10.0,,Female,Electronics,1.0
38.0,69726.0,,13.0,5.0,Male,Clothing,1.0
,70300.0,143.0,17.0,6.0,Male,Electronics,0.0
29.0,42677.0,127.0,14.0,9.0,Female,Books,0.0
75.0,75609.0,378.0,2.0,6.0,Female,Books,1.0
